date,rank,name,price,today_purchased,value,now_viewing_customers_count,link
2019/8/30,6,TP-LINK TL-WR940N,499,0,58,104,https://www.alza.cz/EN/tp-link-tl-wr940n-d185179.htm
2019/8/30,7,ASUS RT-AC58U,1999,0,24,71,https://www.alza.cz/EN/asus-rt-ac58u-d4411674.htm
2019/8/30,8,ASUS RT-AC66U B1,2399,0,17,40,https://www.alza.cz/EN/asus-rt-ac66u-b1-d4749139.htm
2019/8/30,9,ASUS RT-AC750,749,0,24,44,https://www.alza.cz/EN/asus-rt-ac750-d4516993.htm
2019/8/30,10,TP-LINK Deco M9 Plus 2ks kit,6999,0,0,30,https://www.alza.cz/EN/tp-link-deco-m9-plus-2-pack-d5457471.htm
2019/8/31,1,TP-Link Archer C6,999,29,208,201,https://www.alza.cz/EN/tp-link-archer-c6-d5484619.htm
2019/8/31,2,TP-LINK TL-WR841N,499,16,116,138,https://www.alza.cz/EN/tp-link-tl-wr841n-d185181.htm
2019/8/31,3,TP-LINK Archer C50 AC1200 Dual Band,799,0,66,71,https://www.alza.cz/EN/tp-link-archer-c50-ac1200-dual-band-v3-d5250851.htm
2019/8/31,4,ASUS RT-AC57U,1199,0,53,80,https://www.alza.cz/EN/asus-rt-ac57u-d5478059.htm
2019/8/31,5,TP-LINK TL-WR940N,499,0,61,104,https://www.alza.cz/EN/tp-link-tl-wr940n-d185179.htm
2019/8/31,6,TP-LINK Archer C7 AC1750 Dual Band,1990,0,28,94,https://www.alza.cz/EN/tp-link-archer-c7-ac1750-dual-band-d470129.htm
2019/8/31,7,ASUS RT-AC58U,1999,0,23,80,https://www.alza.cz/EN/asus-rt-ac58u-d4411674.htm
2019/8/31,8,ASUS RT-AC750,749,0,23,37,https://www.alza.cz/EN/asus-rt-ac750-d4516993.htm
2019/8/31,9,ASUS RT-AC66U B1,2399,0,17,46,https://www.alza.cz/EN/asus-rt-ac66u-b1-d4749139.htm
2019/8/31,10,"Tenda F3 (N300, F303)",369,0,27,28,https://www.alza.cz/EN/tenda-f3-n300-f303-d3754534.htm
2019/9/1,1,TP-Link Archer C6,999,28,201,233,https://www.alza.cz/EN/tp-link-archer-c6-d5484619.htm
